timestamp_utc,price_usd
2026-07-08 04:19:25,62759.00
2026-07-08 09:21:06,61722.00
2026-07-08 15:09:37,61738.00
2026-07-08 20:16:25,62202.00
2026-07-09 04:42:00,62222.00
2026-07-09 10:18:09,62941.00
2026-07-09 15:52:48,62948.00
2026-07-09 20:41:45,63257.00
2026-07-10 04:43:12,64012.00
2026-07-10 10:14:24,64257.00
2026-07-10 15:26:41,64120.00
2026-07-10 20:13:33,63798.00
2026-07-13 04:24:18,62845.00
2026-07-13 10:16:07,63023.00
2026-07-13 15:38:37,62666.00
2026-07-13 20:06:49,62224.00
2026-07-14 03:51:17,62445.00
2026-07-14 08:59:07,62628.00
2026-07-14 14:42:06,63949.00
2026-07-14 20:04:49,64487.00
2026-07-15 03:52:20,64702.00
2026-07-15 09:04:48,64721.00
2026-07-15 14:41:47,65327.00
2026-07-15 20:02:12,64897.00
2026-07-16 03:55:13,64529.00
2026-07-16 09:08:25,64083.00
2026-07-16 14:52:30,64628.00
2026-07-16 19:56:29,64219.00
2026-07-17 03:54:46,63499.00
2026-07-17 09:03:25,62853.00
2026-07-17 14:24:53,63223.00
2026-07-17 19:58:26,64130.00
